set,B,adc_relerr_pct,td_relerr_pct
quant-only,2,33.13884002090299,33.144310535445385
quant-only,3,16.569083433214743,16.569942884360568
quant-only,4,8.30059703900819,8.300841771837158
quant-only,5,4.148671847212692,4.148768908715274
quant-only,6,2.0718971459792384,2.071945733853508
quant-only,7,1.0368000307647431,1.0368243047512833
quant-only,8,0.5185736883065194,0.5185858212351447
quant-only,9,0.2588599121001295,0.2588659885694959
quant-only,10,0.12957840622337244,0.12958144097741475
quant-only,11,0.0648237647265165,0.06482528129454775
quant-only,12,0.03238265580606353,0.03238341477444279
+gain+offset,2,33.178566017194015,33.183927518322655
+gain+offset,3,16.645649975521707,16.646505473573907
+gain+offset,4,8.451833997280685,8.45207435099069
+gain+offset,5,4.441578617696878,4.441669278463838
+gain+offset,6,2.612916378734006,2.6129549063796094
+gain+offset,7,1.8976567065670844,1.8976699689641094
+gain+offset,8,1.6706295871640304,1.6706333533394335
+gain+offset,9,1.6091827486882544,1.6091837261858761
+gain+offset,10,1.5934962937631851,1.5934965405432797
+gain+offset,11,1.589857647781252,1.5898577096174784
+gain+offset,12,1.5887954140006642,1.5887954294700566
+corr-drift,2,33.25834352094767,33.263719323441634
+corr-drift,3,16.80578477918191,16.806632125988912
+corr-drift,4,8.763035602813254,8.763267421074044
+corr-drift,5,5.009153414722922,5.009233803117766
+corr-drift,6,3.477836946899434,3.477865893006172
+corr-drift,7,2.9745291209245814,2.9745375819373288
+corr-drift,8,2.8381769801321584,2.8381791970089556
+corr-drift,9,2.800943940693428,2.8009445022800437
+corr-drift,10,2.7922890718013282,2.7922892126331607
+corr-drift,11,2.790496105229546,2.7904961404601263
+corr-drift,12,2.789694405560511,2.789694414370687
+jitter(full),2,35.17285002266223,60.72052536895662
+jitter(full),3,17.75319901477065,31.787728341886073
+jitter(full),4,9.210534464684132,16.41057500224549
+jitter(full),5,5.209389341176008,8.633855452181024
+jitter(full),6,3.5537183538842823,4.966210016523954
+jitter(full),7,2.996565499737002,3.4695513422259308
+jitter(full),8,2.8435870046007934,2.972767270043893
+jitter(full),9,2.8021989736919073,2.836220004264218
+jitter(full),10,2.7927546378785784,2.801202431592462
+jitter(full),11,2.7905319192075915,2.7927781444802386
+jitter(full),12,2.789792857791652,2.79019515989428
