fire_k,frac,oracle_ppl,oracle_acc,oracle_relerr,det_ppl,det_acc,det_relerr,det_recall
512,1.0,6.712574050905589,0.71425,0.0,6.712574050905589,0.71425,0.0,1.0
256,0.5,6.71274175556233,0.71425,0.0002832299145543111,6.917074084186293,0.69725,0.24945174777388335,0.5005179963373404
128,0.25,7.440547991726333,0.68225,0.16766593767143775,7.992156693329871,0.64,0.46019058618659736,0.632431640625
64,0.125,10.587197666210088,0.55625,0.44689255882548823,8.479196942873056,0.569,0.6568376157735539,0.55621875
32,0.0625,18.095178649612834,0.386,0.6513657007330744,10.508031480961954,0.41425,0.7868015884084169,0.4834921875
16,0.03125,28.414552775849604,0.24975,0.7874221780060425,13.355797286604595,0.27925,0.8736879123309513,0.42115625
